COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
106,20230224,P,117,119,110,92,117,185,362,602,730,831,1066,887,850,1278,1979,1870,1996,2129,1783,880,687,420,302,203,2/24/2023
106,20230224,S,240,220,225,150,166,297,801,1722,1853,1472,1427,1702,1789,1894,1750,2057,2360,2239,2001,1749,1097,1208,540,393,2/24/2023
106,20230225,P,143,116,139,120,172,278,652,901,1084,1460,1908,1806,2005,2129,2140,2206,1911,1663,1644,1707,943,554,316,194,2/25/2023
106,20230225,S,239,180,134,134,151,553,2085,1994,1844,1480,1736,1792,1918,1879,1918,1680,1615,1276,944,807,663,468,353,229,2/25/2023
106,20230226,P,121,91,98,119,174,272,694,1088,1574,2514,2797,2478,2057,1920,1354,2114,1788,1841,1668,1447,988,445,243,164,2/26/2023
106,20230226,S,173,111,57,78,91,234,1238,1636,1636,1425,1277,1478,1260,1512,1547,1526,1276,849,637,577,443,321,228,170,2/26/2023
106,20230227,P,80,75,61,92,120,257,679,911,1017,1285,1532,1469,1456,1678,1758,1783,1821,1422,900,618,441,284,234,141,2/27/2023
106,20230227,S,114,89,89,89,150,258,559,1249,1487,1465,1372,1146,1083,1047,1025,1019,993,741,700,530,454,325,262,190,2/27/2023
106,20230228,P,87,78,63,55,75,145,313,512,507,629,863,1038,911,1110,822,1003,1278,1146,644,517,348,415,208,204,2/28/2023
106,20230228,S,107,115,104,82,118,216,404,700,875,787,878,1084,720,805,818,854,775,672,557,518,448,322,272,198,2/28/2023
106,20230301,P,152,102,104,100,138,198,478,639,808,902,903,1142,1320,1248,1361,803,794,1090,806,389,293,234,108,88,3/1/2023
106,20230301,S,136,94,127,84,128,201,546,1050,1314,1231,1010,941,896,1103,1091,996,895,774,876,607,407,443,414,349,3/1/2023
106,20230303,P,113,86,91,118,127,202,408,671,852,1101,1275,1358,1509,1790,1930,1938,1788,1370,815,569,438,324,212,164,3/3/2023
106,20230303,S,331,210,158,131,132,269,815,1636,1898,1891,2009,1978,1540,1589,1796,2020,1913,2102,1717,1812,1263,837,473,375,3/3/2023
106,20230304,P,65,47,129,171,153,203,477,698,991,1362,1722,1740,1751,2103,2437,2123,268,641,481,425,480,542,499,581,3/4/2023
106,20230304,S,235,158,138,111,120,455,1872,2008,1871,1753,1897,1747,1522,1680,1581,1596,1415,1240,973,802,645,457,352,241,3/4/2023
106,20230305,P,479,158,116,69,194,243,630,994,1595,2463,2799,2622,2557,2179,1934,2062,2157,1706,1497,1299,834,376,245,137,3/5/2023
106,20230305,S,174,116,93,76,80,191,1194,1651,1155,1123,1272,1363,1461,1360,1386,1498,1325,961,799,653,493,341,290,194,3/5/2023
106,20230306,P,79,50,72,67,116,257,696,837,1067,1209,1382,1413,1464,715,1605,1959,1594,1350,869,594,331,206,177,124,3/6/2023
106,20230306,S,94,89,66,101,126,255,605,1189,1483,1448,1296,1083,1005,782,1198,948,924,813,576,477,425,310,250,156,3/6/2023
106,20230307,P,71,52,50,56,85,152,430,558,760,850,1013,1068,1038,755,1082,1321,1264,1087,634,453,347,231,167,116,3/7/2023
106,20230307,S,107,88,84,70,109,193,476,1006,1197,1290,784,811,784,850,817,920,815,685,551,440,390,297,295,175,3/7/2023
106,20230308,P,82,59,60,64,107,190,379,598,783,861,1073,1003,392,1175,1409,1479,1282,1001,703,461,328,231,159,119,3/8/2023
106,20230308,S,129,94,80,83,122,238,524,990,1292,1252,948,1157,936,1012,1061,1096,1129,923,729,609,511,378,386,259,3/8/2023
106,20230309,P,78,72,32,68,92,173,336,541,761,908,982,1003,1192,1278,1526,1589,1678,1298,847,614,367,228,139,4,3/9/2023
106,20230309,S,176,144,95,98,137,219,559,1203,1464,1685,1320,1133,970,1275,1339,1337,1438,1370,1142,1082,879,678,458,332,3/9/2023
106,20230310,P,4,16,2,22,124,185,421,600,963,1305,1610,1032,859,857,837,892,850,849,853,453,730,1255,418,161,3/10/2023
106,20230310,S,219,186,117,109,170,277,754,1606,1867,1838,1618,1561,1530,1645,1834,1940,2247,2145,1753,1526,1175,732,492,327,3/10/2023
106,20230311,P,96,112,118,57,65,185,265,512,486,1379,1435,1399,1787,1821,1528,1846,1998,735,1663,910,640,462,294,180,3/11/2023
106,20230311,S,274,182,145,107,100,102,1082,1591,1280,1382,1486,1471,1585,1754,1818,2044,2066,2055,1477,906,723,546,389,287,3/11/2023
106,20230313,P,146,91,92,59,113,240,575,814,940,1119,1378,1267,1425,1405,1618,1787,1851,1621,1022,497,569,319,193,117,3/13/2023
106,20230313,S,146,124,86,87,123,197,627,1239,1193,1555,1800,1804,1288,1199,1426,1300,1190,892,669,528,469,335,23,324,3/13/2023
106,20230314,P,79,40,73,59,88,192,340,573,800,1027,1229,1095,1168,1383,1606,1697,1661,1491,1055,671,507,374,207,144,3/14/2023
106,20230314,S,130,104,87,81,127,225,526,1226,1406,1640,1379,1060,1130,994,1048,1067,1106,910,692,562,467,365,249,201,3/14/2023
106,20230315,P,109,74,68,90,119,158,428,601,766,1010,1118,801,1981,1496,1629,1490,1643,1318,875,603,409,308,193,115,3/15/2023
106,20230315,S,140,115,90,95,130,275,492,1065,1342,1433,1311,1147,1025,1234,1186,1247,1267,982,821,696,516,398,270,211,3/15/2023
106,20230316,P,88,40,53,52,94,170,338,531,772,1031,1296,1253,1227,1273,1540,1681,1740,1521,984,684,453,317,201,147,3/16/2023
106,20230316,S,140,105,101,75,81,166,430,995,1467,1539,1438,1068,1062,1136,1276,1238,1360,1262,1017,823,618,574,320,330,3/16/2023
106,20230317,P,107,82,68,82,161,263,497,804,1148,1598,1983,1771,1722,1966,2222,2253,2120,1684,1265,900,598,458,263,182,3/17/2023
106,20230317,S,165,158,90,94,131,261,759,1737,1118,1601,1775,2094,1911,1627,1638,1878,2028,1943,1598,1153,995,616,450,264,3/17/2023
106,20230318,P,112,93,95,76,146,288,574,915,1320,1729,2359,2109,2063,2125,2267,2112,1988,1575,1137,894,700,472,300,211,3/18/2023
106,20230318,S,184,160,112,86,138,445,1710,1772,1408,1231,1596,1840,1642,1698,1724,1594,1554,1163,915,750,578,427,266,264,3/18/2023
106,20230319,P,158,96,89,104,115,211,406,718,1202,1929,2815,2754,2646,2206,2554,2086,1604,1895,1497,1192,879,494,252,133,3/19/2023
106,20230319,S,142,98,77,61,87,183,1014,1635,1150,1257,1515,1638,1610,1485,1724,1579,1332,1052,920,668,502,381,266,216,3/19/2023
